compound_name,inchikey,connectivity,in_tggates,tggates_liver,tggates_kidney,in_drugmatrix,cross_platform_replicate,in_tox21,tox21_assays_labelled,tox21_assays_active,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
(+)-Pulegone,NZGWDASTMWDZIW-MRVPVSSYSA-N,NZGWDASTMWDZIW,,,,Y,,Y,8,0,,,0,,,0,0,0,0,0,0,0
(R)-Bicalutamide,LKJPYSCBVHEWIU-KRWDZBQOSA-N,LKJPYSCBVHEWIU,,,,Y,,Y,11,2,0,0,0,0,0,0,,1,0,0,1,0
"1,1-Dichloroethene",LGXVIGDEPROXKC-UHFFFAOYSA-N,LGXVIGDEPROXKC,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichloropropane",CFXQEHVMCRXUSD-UHFFFAOYSA-N,CFXQEHVMCRXUSD,,,,Y,,Y,12,1,0,0,0,0,1,0,0,0,0,0,0,0
"1,4-Dichlorobenzene",OCJBOOLMMGQPQU-UHFFFAOYSA-N,OCJBOOLMMGQPQU,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3,7,8-Tetrachlorodibenzo-P-Dioxin",HGUFODBRKLSHSI-UHFFFAOYSA-N,HGUFODBRKLSHSI,,,,Y,,Y,10,2,0,0,1,,0,0,0,1,0,0,,0
"2,4-Diaminophenol",XIWMTQIUUWJNRP-UHFFFAOYSA-N,XIWMTQIUUWJNRP,,,,Y,,Y,11,1,0,0,0,0,,0,0,0,0,0,1,0
"2,4-dinitrophenol",UFBJCMHMOXMLKC-UHFFFAOYSA-N,UFBJCMHMOXMLKC,Y,Y,,,,Y,7,2,0,,,0,,0,,1,,0,1,0
2-Amino-4-Nitrophenol,VLZVIIYRNMWPSN-UHFFFAOYSA-N,VLZVIIYRNMWPSN,,,,Y,,Y,11,3,0,0,1,,0,0,0,1,0,0,1,0
2-Nitroanisole,CFBYEGUGFPZCNF-UHFFFAOYSA-N,CFBYEGUGFPZCNF,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2-nitrofluorene,XFOHWECQTFIEIX-UHFFFAOYSA-N,XFOHWECQTFIEIX,Y,Y,,,,Y,11,4,0,0,1,,1,0,0,1,0,0,1,0
"3,3'',4'',5-Tetrachlorosalicylanilide",SJQBHPJLLIJASD-UHFFFAOYSA-N,SJQBHPJLLIJASD,,,,Y,,Y,6,4,0,,1,,,,,,0,1,1,1
"3,3'',5-Triiodo-L-Thyronine",AUYYCJSJGJYCDS-LBPRGKRZSA-N,AUYYCJSJGJYCDS,,,,Y,,Y,12,4,0,0,1,0,1,1,0,0,0,0,1,0
3-Acetamidophenol,QLNWXBAGRTUKKI-UHFFFAOYSA-N,QLNWXBAGRTUKKI,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Chloroaniline,PNPCRKVUWYDDST-UHFFFAOYSA-N,PNPCRKVUWYDDST,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
3-methylcholanthrene,PPQNQXQZIWHJRB-UHFFFAOYSA-N,PPQNQXQZIWHJRB,Y,Y,,Y,Y,Y,7,3,0,0,1,,,,,1,0,,1,0
"4,4''-Methylenedianiline",YBRVSVVVWCFQMG-UHFFFAOYSA-N,YBRVSVVVWCFQMG,,,,Y,,Y,12,1,0,0,1,0,0,0,0,0,0,0,0,0
4-Chloro-2-Nitroaniline,PBGKNXWGYQPUJK-UHFFFAOYSA-N,PBGKNXWGYQPUJK,,,,Y,,Y,10,1,0,0,,0,,0,0,0,0,0,1,0
4-Chloroaniline,QSNSCYSYFYORTR-UHFFFAOYSA-N,QSNSCYSYFYORTR,,,,Y,,Y,11,1,0,0,1,0,0,0,,0,0,0,0,0
4-Methylpyrazole,RIKMMFOAQPJVMX-UHFFFAOYSA-N,RIKMMFOAQPJVMX,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Nitrobenzoic Acid,OTLNPYWUJOZPPA-UHFFFAOYSA-N,OTLNPYWUJOZPPA,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Nitrotoluene,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,ZPTVNYMJQHSSEA,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Nonylphenol,IGFHQQFPSIBGKE-UHFFFAOYSA-N,IGFHQQFPSIBGKE,,,,Y,,Y,9,1,0,0,0,,1,0,0,,0,0,,0
4-Octylphenol,NTDQQZYCCIDJRK-UHFFFAOYSA-N,NTDQQZYCCIDJRK,,,,Y,,Y,9,2,0,0,0,,1,0,0,,0,,1,0
5-Fluoro-2'-Deoxyuridine,ODKNJVUHOIMIIZ-UHFFFAOYSA-N,ODKNJVUHOIMIIZ,,,,Y,,Y,9,2,,,0,0,0,0,,1,0,0,0,1
6-Mercaptopurine,GLVAUDGFNGKCSF-UHFFFAOYSA-N,GLVAUDGFNGKCSF,,,,Y,,Y,10,3,0,0,1,,0,0,,1,0,0,0,1
Abamectin,RRZXIRBKKLTSOM-XPNPUAGNSA-N,RRZXIRBKKLTSOM,,,,Y,,Y,11,2,0,0,0,0,0,0,,1,0,0,1,0
Aceclofenac,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,MNIPYSSQXLZQLJ,,,,Y,,Y,11,1,0,0,0,0,0,0,1,0,0,0,,0
Acemetacin,FSQKKOOTNAMONP-UHFFFAOYSA-N,FSQKKOOTNAMONP,,,,Y,,Y,10,0,0,0,0,0,0,0,,0,0,0,,0
acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,DLFVBJFMPXGRIB,Y,Y,,,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
acetamidofluorene,CZIHNRWJTSTCEX-UHFFFAOYSA-N,CZIHNRWJTSTCEX,Y,Y,,Y,Y,Y,11,5,0,0,1,,1,0,0,1,1,0,1,0
acetaminophen,RZVAJINKPMORJF-UHFFFAOYSA-N,RZVAJINKPMORJF,Y,Y,Y,Y,Y,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
acetazolamide,BZKPWHYZMXOIDC-UHFFFAOYSA-N,BZKPWHYZMXOIDC,Y,Y,Y,Y,Y,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CSCPPACGZOOCGX,,,,Y,,Y,11,0,0,0,0,0,0,0,0,0,0,0,,0
Aconitine,XFSBVAOIAHNAPC-XTHSEXKGSA-N,XFSBVAOIAHNAPC,,,,Y,,Y,10,0,0,0,0,0,0,0,0,,0,,0,0
Acrolein,HGINCPLSRVDWNT-UHFFFAOYSA-N,HGINCPLSRVDWNT,,,,Y,,Y,12,1,0,0,0,0,0,0,0,1,0,0,0,0
Acyclovir,MKUXAQIIEYXACX-UHFFFAOYSA-N,MKUXAQIIEYXACX,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
adapin,ODQWQRRAPPTVAG-GZTJUZNOSA-N,ODQWQRRAPPTVAG,Y,Y,,Y,Y,Y,11,0,0,0,0,0,0,0,0,0,0,0,,0
ajmaline,CJDRUOGAGYHKKD-RQBLFBSQSA-N,CJDRUOGAGYHKKD,Y,Y,,,,Y,9,0,0,0,0,0,0,0,0,,0,,,0
Albendazole,HXHWSAZORRCQMX-UHFFFAOYSA-N,HXHWSAZORRCQMX,,,,Y,,Y,10,6,0,,1,,1,0,0,0,1,1,1,1
Alendronic Acid,OGSPWJRAVKPPFI-UHFFFAOYSA-N,OGSPWJRAVKPPFI,,,,Y,,Y,2,0,,,,,,,,0,,0,,
allopurinol,OFCNXPDARWKPPY-UHFFFAOYSA-N,OFCNXPDARWKPPY,Y,Y,Y,Y,Y,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
allyl alcohol,XXROGKLTLUQVRX-UHFFFAOYSA-N,XXROGKLTLUQVRX,Y,Y,Y,Y,Y,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
alpidem,JRTIDHTUMYMPRU-UHFFFAOYSA-N,JRTIDHTUMYMPRU,Y,,,,,Y,9,0,0,0,,0,0,0,0,,0,0,,0
Alprazolam,VREFGVBLTWBCJP-UHFFFAOYSA-N,VREFGVBLTWBCJP,,,,Y,,Y,7,1,0,0,0,,,0,,,1,,0,0
Altretamine,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,UUVWYPNAQBNQJQ,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Amantadine,DKNWSYNQZKUICI-UHFFFAOYSA-N,DKNWSYNQZKUICI,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Amikacin,LKCWBDHBTVXHDL-RMDFUYIESA-N,LKCWBDHBTVXHDL,,,,Y,,Y,12,1,0,0,0,0,1,0,0,0,0,0,0,0
Amiloride,XSDQTOBWRPYKKA-UHFFFAOYSA-N,XSDQTOBWRPYKKA,,,,Y,,Y,12,3,0,0,1,0,0,0,0,1,0,0,0,1
Aminocaproic Acid,SLXKOJJOQWFEFD-UHFFFAOYSA-N,SLXKOJJOQWFEFD,,,,Y,,Y,2,0,,,,,,,,0,,0,,
Aminoglutethimide,ROBVIMPUHSLWNV-UHFFFAOYSA-N,ROBVIMPUHSLWNV,,,,Y,,Y,12,1,0,0,0,1,0,0,0,0,0,0,0,0
Aminosalicylic Acid,WUBBRNOQWQTFEX-UHFFFAOYSA-N,WUBBRNOQWQTFEX,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
amiodarone,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,IYIKLHRQXLHMJQ,Y,Y,,Y,Y,Y,9,0,0,0,0,0,0,0,,0,0,,,0
Amitraz,QXAITBQSYVNQDR-UHFFFAOYSA-N,QXAITBQSYVNQDR,,,,Y,,Y,11,2,0,0,1,,0,0,0,0,0,0,1,0
amitriptyline,KRMDCWKBEZIMAB-UHFFFAOYSA-N,KRMDCWKBEZIMAB,Y,Y,,Y,Y,Y,10,0,0,0,0,0,0,0,,0,0,0,,0
Amlodipine,HTIQEAQVCYTUBX-UHFFFAOYSA-N,HTIQEAQVCYTUBX,,,,Y,,Y,8,4,0,1,0,1,0,,1,,0,,,1
Amoxapine,QWGDMFLQWFTERH-UHFFFAOYSA-N,QWGDMFLQWFTERH,,,,Y,,Y,8,1,0,0,0,1,0,,0,0,0,,,
Amoxicillin,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,LSQZJLSUYDQPKJ,,,,Y,,Y,10,0,0,0,0,0,0,0,0,,0,,0,0
amphotericin B,APKFDSVGJQXUKY-INPOYWNPSA-N,APKFDSVGJQXUKY,Y,Y,Y,,,Y,8,1,0,,0,0,,0,,1,0,,0,0
Ampicillin,AVKUERGKIZMTKX-NJBDSQKTSA-N,AVKUERGKIZMTKX,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Ampiroxicam,LSNWBKACGXCGAJ-UHFFFAOYSA-N,LSNWBKACGXCGAJ,,,,Y,,Y,2,0,,,,,,,,0,,0,,
Amprenavir,YMARZQAQMVYCKC-OEMFJLHTSA-N,YMARZQAQMVYCKC,,,,Y,,Y,9,0,0,0,0,0,,0,0,,0,,0,0
Anastrozole,YBBLVLTVTVSKRW-UHFFFAOYSA-N,YBBLVLTVTVSKRW,,,,Y,,Y,12,1,0,0,0,1,0,0,0,0,0,0,0,0
Anisindione,XRCFXMGQEVUZFC-UHFFFAOYSA-N,XRCFXMGQEVUZFC,,,,Y,,Y,2,0,,,,,,,,0,,0,,
Antipyrine,VEQOALNAAJBPNY-UHFFFAOYSA-N,VEQOALNAAJBPNY,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemether,SXYIRMFQILZOAM-HVNFFKDJSA-N,SXYIRMFQILZOAM,,,,Y,,Y,10,0,0,0,0,0,0,0,0,,0,,0,0
Artemisinin,BLUAFEHZUWYNDE-NNWCWBAJSA-N,BLUAFEHZUWYNDE,,,,Y,,Y,1,0,,,,,,,,,,0,,
Ascorbic Acid,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,CIWBSHSKHKDKBQ,,,,Y,,Y,11,0,0,0,0,0,,0,0,0,0,0,0,0
aspirin,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,BSYNRYMUTXBXSQ,Y,Y,,Y,Y,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Atenolol,METKIMKYRPQLGS-UHFFFAOYSA-N,METKIMKYRPQLGS,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Atorvastatin,XUKUURHRXDUEBC-KAYWLYCHSA-N,XUKUURHRXDUEBC,,,,Y,,Y,10,2,0,0,0,1,1,0,0,,0,0,,0
Atropine,RKUNBYITZUJHSG-PJPHBNEVSA-N,RKUNBYITZUJHSG,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Auranofin,SFOZKJGZNOBSHF-RGDJUOJXSA-N,SFOZKJGZNOBSHF,,,,Y,,Y,3,2,0,,,,,1,,,1,,,
Azaribine,QQOBRRFOVWGIMD-OJAKKHQRSA-N,QQOBRRFOVWGIMD,,,,Y,,Y,2,0,,,,,,,,0,,0,,
Azasetron,WUKZPHOXUVCQOR-UHFFFAOYSA-N,WUKZPHOXUVCQOR,,,,Y,,Y,11,0,0,0,0,,0,0,0,0,0,0,0,0
azathioprine,LMEKQMALGUDUQG-UHFFFAOYSA-N,LMEKQMALGUDUQG,Y,Y,,Y,Y,Y,10,3,0,0,1,,0,0,0,1,0,0,,1
Azithromycin,MQTOSJVFKKJCRP-BICOPXKESA-N,MQTOSJVFKKJCRP,,,,Y,,Y,11,0,0,0,0,0,0,0,0,,0,0,0,0
Azlocillin,JTWOMNBEOCYFNV-NFFDBFGFSA-N,JTWOMNBEOCYFNV,,,,Y,,Y,10,0,0,0,0,0,0,0,0,,0,,0,0
Aztreonam,WZPBZJONDBGPKJ-VEHQQRBSSA-N,WZPBZJONDBGPKJ,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacitracin,CLKOFPXJLQSYAH-ABRJDSQDSA-N,CLKOFPXJLQSYAH,,,,Y,,Y,10,1,0,0,0,0,1,0,0,,0,,0,0
Baclofen,KPYSYYIEGFHWSV-UHFFFAOYSA-N,KPYSYYIEGFHWSV,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Balsalazide,IPOKCKJONYRRHP-UHFFFAOYSA-N,IPOKCKJONYRRHP,,,,Y,,Y,11,0,0,0,0,0,0,0,0,0,0,0,,0
Benazepril,XPCFTKFZXHTYIP-PMACEKPBSA-N,XPCFTKFZXHTYIP,,,,Y,,Y,1,1,,,,,,,,,,1,,
bendazac,BYFMCKSPFYVMOU-UHFFFAOYSA-N,BYFMCKSPFYVMOU,Y,Y,,,,Y,11,0,0,,0,0,0,0,0,0,0,0,0,0
benzbromarone,WHQCHUCQKNIQEC-UHFFFAOYSA-N,WHQCHUCQKNIQEC,Y,Y,,,,Y,10,3,0,0,0,0,0,0,1,,0,,1,1
Benzethonium Chloride,SIYLLGKDQZGJHK-UHFFFAOYSA-N,SIYLLGKDQZGJHK,,,,Y,,Y,6,2,0,,0,,,0,0,1,,,1,
benziodarone,CZCHIEJNWPNBDE-UHFFFAOYSA-N,CZCHIEJNWPNBDE,Y,Y,,,,Y,8,4,0,0,0,,,0,1,,,1,1,1
Benzocaine,BLFLLBZGZJTVJG-UHFFFAOYSA-N,BLFLLBZGZJTVJG,,,,Y,,Y,9,0,0,0,,,,0,0,0,0,0,0,0
Benzoic Acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,WPYMKLBDIGXBTP,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzothiazyl Disulfide,AFZSMODLJJCVPP-UHFFFAOYSA-N,AFZSMODLJJCVPP,,,,Y,,Y,12,2,0,0,0,0,0,0,0,1,0,1,0,0
Benzyl Acetate,QUKGYYKBILRGFE-UHFFFAOYSA-N,QUKGYYKBILRGFE,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta-Estradiol,VOXZDWNPVJITMN-ZBRFXRBCSA-N,VOXZDWNPVJITMN,,,,Y,,Y,12,7,1,1,0,1,1,1,0,0,0,0,1,1
Beta-Estradiol 3-Benzoate,UYIFTLBWAOGQBI-BZDYCCQFSA-N,UYIFTLBWAOGQBI,,,,Y,,Y,9,4,1,1,0,0,1,1,0,,0,,,0
Beta-Naphthoflavone,OUGIDAPQYNCXRA-UHFFFAOYSA-N,OUGIDAPQYNCXRA,,,,Y,,Y,10,5,,0,1,1,1,0,0,1,1,0,,0
Betahistine,UUQMNUMQCIQDMZ-UHFFFAOYSA-N,UUQMNUMQCIQDMZ,,,,Y,,Y,1,0,,,,,,,,,,0,,
Bezafibrate,IIBYAHWJQTYFKB-UHFFFAOYSA-N,IIBYAHWJQTYFKB,,,,Y,,Y,12,1,0,0,0,0,0,0,1,0,0,0,0,0
Bis(2-Ethylhexyl)Phthalate,BJQHLKABXJIVAM-UHFFFAOYSA-N,BJQHLKABXJIVAM,,,,Y,,Y,11,0,0,0,0,0,0,0,0,0,0,0,,0
Bisacodyl,KHOITXIGCFIULA-UHFFFAOYSA-N,KHOITXIGCFIULA,,,,Y,,Y,9,2,0,0,0,,,,0,0,0,0,1,1
Bisphenol A,IISBACLAFKSPIT-UHFFFAOYSA-N,IISBACLAFKSPIT,,,,Y,,Y,10,4,0,0,,0,1,1,,1,0,0,1,0
Bithionol,JFIOVJDNOJYLKP-UHFFFAOYSA-N,JFIOVJDNOJYLKP,,,,Y,,Y,9,3,0,0,0,,,0,,0,0,1,1,1
bortezomib,GXJABQQUPOEUTA-RDJZCZTQSA-N,GXJABQQUPOEUTA,Y,Y,,,,Y,9,5,0,0,0,1,,,,1,1,1,0,1
Bromfenac,ZBPLOVFIXSTCRZ-UHFFFAOYSA-N,ZBPLOVFIXSTCRZ,,,,Y,,Y,11,1,0,0,0,0,0,0,1,0,0,0,,0
Bromhexine,OJGDCBLYJGHCIH-UHFFFAOYSA-N,OJGDCBLYJGHCIH,,,,Y,,Y,8,0,0,0,,0,,0,0,0,0,0,,
Bromisovalum,CMCCHHWTTBEZNM-UHFFFAOYSA-N,CMCCHHWTTBEZNM,,,,Y,,Y,12,1,0,0,0,0,0,0,0,1,0,0,0,0
bromobenzene,QARVLSVVCXYDNA-UHFFFAOYSA-N,QARVLSVVCXYDNA,Y,Y,Y,Y,Y,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromodichloromethane,FMWLUWPQPKEARP-UHFFFAOYSA-N,FMWLUWPQPKEARP,,,,Y,,Y,9,0,,,0,0,,0,0,0,0,0,0,0
bucetin,LIAWQASKBFCRNR-UHFFFAOYSA-N,LIAWQASKBFCRNR,Y,Y,Y,,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Buflomedil,OWYLAEYXIQKAOL-UHFFFAOYSA-N,OWYLAEYXIQKAOL,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Bupropion,SNPPWIUOZRMYNY-UHFFFAOYSA-N,SNPPWIUOZRMYNY,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
buspirone,QWCRAEMEVRGPNT-UHFFFAOYSA-N,QWCRAEMEVRGPNT,Y,,,Y,Y,Y,12,1,0,0,0,0,0,0,0,1,0,0,0,0
Busulfan,COVZYZSDYWQREU-UHFFFAOYSA-N,COVZYZSDYWQREU,,,,Y,,Y,12,1,0,0,0,0,1,0,0,0,0,0,0,0
Butenafine,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,ABJKWBDEJIDSJZ,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadmium Acetate,QTBSBXVTEAMEQO-UHFFFAOYSA-N,QTBSBXVTEAMEQO,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadmium Chloride,WLZRMCYVCSSEQC-UHFFFAOYSA-N,WLZRMCYVCSSEQC,,,,Y,,Y,11,3,0,0,1,,0,0,0,0,1,1,0,0
caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,RYYVLZVUVIJVGH,Y,Y,Y,Y,Y,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Calcitriol,GMRQFYUYWCNGIN-NKMMMXOESA-N,GMRQFYUYWCNGIN,,,,Y,,Y,5,1,0,0,,0,,0,,,,,1,
Candesartan,HTQMVQVXFRQIKW-UHFFFAOYSA-N,HTQMVQVXFRQIKW,,,,Y,,Y,2,0,,,,,,,,0,,0,,
Capsaicin,YKPUWZUDDOIDPM-SOFGYWHQSA-N,YKPUWZUDDOIDPM,,,,Y,,Y,12,2,0,0,0,1,0,0,0,1,0,0,0,0
captopril,FAKRSMQSSFJEIM-RQJHMYQMSA-N,FAKRSMQSSFJEIM,Y,Y,Y,Y,Y,Y,2,0,,,,,,,,0,,0,,
Carbachol,VPJXQGSRWJZDOB-UHFFFAOYSA-O,VPJXQGSRWJZDOB,,,,Y,,Y,11,0,0,0,0,0,0,0,,0,0,0,0,0
carbamazepine,FFGPTBGBLSHEPO-UHFFFAOYSA-N,FFGPTBGBLSHEPO,Y,Y,,Y,Y,Y,12,2,1,1,0,0,0,0,0,0,0,0,0,0
Carbimazole,CFOYWRHIYXMDOT-UHFFFAOYSA-N,CFOYWRHIYXMDOT,,,,Y,,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
carbon tetrachloride,VZGDMQKNWNREIO-UHFFFAOYSA-N,VZGDMQKNWNREIO,Y,Y,,Y,Y,Y,12,0,0,0,0,0,0,0,0,0,0,0,0,0
carboplatin,CCQPAEQGAVNNIA-UHFFFAOYSA-N,CCQPAEQGAVNNIA,Y,Y,Y,Y,Y,Y,11,1,0,0,0,0,0,0,0,1,0,0,,0
Carmofur,AOCCBINRVIKJHY-UHFFFAOYSA-N,AOCCBINRVIKJHY,,,,Y,,Y,1,0,,,,,,,,,,0,,
Carmustine,DLGOEMSEDOSKAD-UHFFFAOYSA-N,DLGOEMSEDOSKAD,,,,Y,,Y,11,1,0,0,0,0,0,0,0,1,0,0,0,
Carvedilol,OGHNVEJMJSYVRP-UHFFFAOYSA-N,OGHNVEJMJSYVRP,,,,Y,,Y,11,2,0,0,1,0,,0,0,0,0,0,1,0
Catechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,YCIMNLLNPGFGHC,,,,Y,,Y,11,3,0,0,1,,0,1,0,1,0,0,0,0
Cefotaxime,GPRBEKHLDVQUJE-QSWIMTSFSA-N,GPRBEKHLDVQUJE,,,,Y,,Y,10,0,0,0,0,0,0,0,0,,0,,0,0
